image,n_ground_truth,n_predicted,n_false_negative,n_false_positive
extra_aug_0_S-191-_jpg.rf.8fb270baff5bfe4551795274b5b2ec80_contrast.jpg,1,8,0,7
extra_aug_1_10_S-94-_jpg.rf.5c7588c9b845d231b9ec8921e78470cd_orig.jpg,1,2,0,1
extra_aug_1_223_N-180-_jpg.rf.25cda3e652c2f0716fe528b8623f4c4a_bright.jpg,1,2,0,1
extra_aug_1_371_N-91-_jpg.rf.c50f717f81190a11c93a3d6bc71c02f1_orig.jpg,1,2,0,1
extra_aug_1_472_S-94-_jpg.rf.5c7588c9b845d231b9ec8921e78470cd_bright.jpg,1,2,0,1
extra_aug_1_472_S-94-_jpg.rf.5c7588c9b845d231b9ec8921e78470cd_orig.jpg,1,2,0,1
extra_aug_1_518_S-94-_jpg.rf.5c7588c9b845d231b9ec8921e78470cd_orig.jpg,1,2,0,1
extra_aug_1_631_S-94-_jpg.rf.5c7588c9b845d231b9ec8921e78470cd_orig.jpg,1,2,0,1
extra_aug_1_747_aug_1_N-123-_jpg.rf.c56490ddbc362726f8a31bfb23d58b71_bright.jpg,1,2,0,1
extra_aug_1_B-158-_jpg.rf.d6f219ed5d9a823e9a52e6311e9d430b_flip.jpg,1,2,0,1
extra_aug_1_B-191-_jpg.rf.ff7c923736021978b232b5a3953240d4_bright.jpg,1,2,0,1
extra_aug_1_B-34-_jpg.rf.42b61cb9118d644700fe1421b4bda7ea_flip.jpg,1,2,0,1
extra_aug_1_C-165-_jpg.rf.64fcd36cad0521202605b6963917cbf6_orig.jpg,1,2,0,1
extra_aug_1_S-160-_jpg.rf.1f212cc4dc776b566475780fb646c82d_flip.jpg,1,3,0,2
extra_aug_1_S-191-_jpg.rf.8fb270baff5bfe4551795274b5b2ec80_contrast.jpg,1,14,0,13
extra_aug_1_S-55-_jpg.rf.4eccde0dc505a360e8d0773546797421_orig.jpg,1,9,0,8
extra_i30_jpg.rf.d879b9cd5adf91e5677d717388b0bb44_flip.jpg,1,1,1,1
